FILENAME,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
1242SCN.txt,166,36,117,35,276,40,148,39,0.54,0.26,0.22,0.03,0.03,0.12,166,38,44.10,38.70,0.60,0.80,7.07,9.99,0.91,26.98,0.78,19.53,3.12,0.79,0.17,0.84,0.11,0.16,0.28
1243SCN.txt,207,50,149,50,460,80,242,80,0.53,0.33,0.24,0.06,0.17,0.29,207,39,40.90,38.30,0.45,0.73,6.82,9.65,0.87,20.45,0.69,25.35,3.56,0.62,0.15,0.54,0.10,0.13,0.23
1244SCN.txt,128,28,86,28,289,38,139,38,0.48,0.27,0.22,0.00,0.00,0.00,128,36,37.40,33.90,0.44,0.71,5.32,7.53,0.86,17.12,0.63,7.58,1.95,0.62,0.09,0.67,0.09,0.12,0.20
1245SCN.txt,150,32,110,32,273,37,130,37,0.48,0.28,0.21,0.03,0.03,0.12,150,35,39.80,38.60,0.55,0.78,6.42,9.08,0.89,22.82,0.80,22.40,3.35,0.85,0.22,0.87,0.13,0.17,0.30
1246SCN.txt,89,24,57,24,156,28,75,28,0.48,0.37,0.27,0.13,0.27,0.37,89,37,39.10,39.60,0.57,0.76,5.04,7.13,0.89,19.73,0.67,6.67,1.83,0.76,0.13,0.77,0.13,0.11,0.24
1247SCN.txt,63,7,33,6,107,13,50,12,0.47,0.24,0.11,0.09,0.09,0.21,63,38,37.70,40.30,0.59,0.74,4.31,6.09,0.89,17.90,0.82,7.36,1.92,0.66,0.18,0.62,0.08,0.16,0.24
1248SCN.txt,122,26,77,25,258,40,111,39,0.43,0.35,0.21,0.12,0.36,0.42,122,32,37.30,36.10,0.47,0.68,5.37,7.60,0.87,17.88,0.72,12.96,2.55,0.69,0.16,0.70,0.09,0.11,0.20
1250SCN.txt,100,21,67,19,201,30,98,28,0.49,0.29,0.21,0.00,0.00,0.00,100,38,35.50,35.60,0.50,0.74,4.99,7.05,0.87,17.50,0.67,10.67,2.31,0.68,0.16,0.69,0.08,0.13,0.21
1252SCN.txt,150,28,102,28,392,38,175,38,0.45,0.22,0.19,0.03,0.03,0.12,150,36,36.10,37.10,0.38,0.72,5.36,7.58,0.84,16.12,0.66,15.11,2.75,0.58,0.13,0.65,0.06,0.15,0.22
1253SCN.txt,63,11,39,11,104,17,53,17,0.51,0.32,0.17,0.17,0.33,0.41,63,38,37.10,37.20,0.61,0.72,4.37,6.18,0.89,18.69,0.92,10.08,2.25,0.74,0.21,0.68,0.06,0.17,0.23
1255SCN.txt,164,31,119,31,295,35,151,35,0.51,0.23,0.19,0.03,0.03,0.11,164,35,41.90,41.90,0.56,0.78,6.75,9.55,0.90,23.92,0.68,17.79,2.98,0.79,0.17,0.84,0.15,0.17,0.32
1256SCN.txt,140,29,95,27,314,37,149,34,0.47,0.23,0.21,0.03,0.03,0.12,140,36,39.00,36.90,0.45,0.72,5.59,7.90,0.86,17.77,0.60,12.60,2.51,0.64,0.14,0.72,0.09,0.15,0.23
1257SCN.txt,150,30,103,29,263,33,142,31,0.54,0.22,0.20,0.03,0.03,0.12,150,35,41.70,41.20,0.57,0.81,6.54,9.25,0.90,24.01,0.66,13.78,2.62,0.73,0.15,0.80,0.14,0.15,0.30
1258SCN.txt,172,35,124,33,297,41,150,38,0.51,0.25,0.20,0.12,0.48,0.49,172,37,42.10,40.50,0.58,0.82,7.06,9.98,0.90,25.77,0.82,22.09,3.32,0.83,0.18,0.84,0.14,0.23,0.37
1259SCN.txt,151,33,112,33,272,38,145,38,0.53,0.26,0.22,0.06,0.13,0.25,151,32,41.80,39.60,0.56,0.78,6.47,9.16,0.90,23.19,0.84,21.81,3.30,0.77,0.18,0.81,0.14,0.17,0.32
1260SCN.txt,160,34,113,34,298,42,144,42,0.48,0.29,0.21,0.03,0.03,0.12,160,33,38.70,36.90,0.54,0.76,6.55,9.27,0.89,22.67,0.67,14.67,2.71,0.78,0.15,0.82,0.15,0.15,0.29
1261SCN.txt,169,30,122,30,300,35,144,32,0.48,0.22,0.18,0.03,0.03,0.12,169,32,41.60,41.60,0.56,0.78,6.90,9.76,0.90,24.62,0.76,21.19,3.25,0.85,0.19,0.89,0.17,0.16,0.33
1262SCN.txt,147,44,101,42,306,55,143,53,0.47,0.37,0.30,0.18,1.06,0.73,147,40,37.60,34.50,0.48,0.70,5.94,8.40,0.87,19.41,0.74,18.38,3.03,0.71,0.17,0.70,0.06,0.12,0.18
1263SCN.txt,142,28,101,28,230,33,117,31,0.51,0.26,0.20,0.07,0.14,0.26,142,35,42.00,40.50,0.62,0.78,6.62,9.36,0.91,26.63,0.90,23.31,3.41,0.86,0.22,0.80,0.14,0.15,0.28
1264SCN.txt,154,31,111,31,273,35,142,35,0.52,0.25,0.20,0.04,0.04,0.13,154,39,41.80,40.50,0.56,0.77,6.59,9.32,0.90,23.87,0.79,17.29,2.94,0.78,0.15,0.82,0.15,0.13,0.28
1265SCN.txt,67,15,42,15,99,18,47,18,0.47,0.38,0.22,0.17,0.17,0.29,67,39,39.30,37.70,0.68,0.78,4.76,6.73,0.92,23.49,1.00,6.00,1.73,0.89,0.13,0.84,0.11,0.21,0.32
1266SCN.txt,252,54,191,53,612,68,281,67,0.46,0.24,0.21,0.08,0.47,0.49,252,38,39.40,38.30,0.41,0.75,7.20,10.19,0.86,20.15,0.67,34.22,4.14,0.68,0.18,0.72,0.09,0.12,0.21
