FILENAME,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
1135SCN.txt,104,20,72,20,275,32,130,32,0.47,0.25,0.19,0.03,0.03,0.13,104,36,34.90,33.20,0.38,0.66,4.43,6.27,0.83,14.09,0.66,12.45,2.49,0.55,0.15,0.55,0.06,0.14,0.20
1136SCN.txt,127,36,90,35,226,47,115,45,0.51,0.39,0.28,0.25,1.25,0.79,127,39,37.90,38.20,0.56,0.76,5.97,8.45,0.89,22.14,0.95,18.05,3.00,0.78,0.17,0.77,0.16,0.11,0.27
1137SCN.txt,119,27,78,26,237,43,113,42,0.48,0.37,0.23,0.05,0.05,0.16,119,33,41.10,35.30,0.50,0.72,5.47,7.73,0.87,18.85,0.75,11.25,2.37,0.69,0.13,0.70,0.05,0.11,0.16
1138SCN.txt,196,40,142,40,382,46,181,46,0.47,0.25,0.20,0.05,0.11,0.23,196,36,40.90,38.90,0.51,0.79,7.09,10.03,0.89,23.01,0.81,24.32,3.49,0.78,0.17,0.84,0.14,0.14,0.28
1139SCN.txt,82,20,51,19,132,20,60,19,0.45,0.32,0.24,0.23,0.69,0.59,82,35,38.40,37.80,0.62,0.73,5.05,7.14,0.90,21.75,0.69,6.23,1.77,0.85,0.15,0.90,0.03,0.22,0.25
1140SCN.txt,70,17,42,17,138,23,60,23,0.43,0.38,0.24,0.08,0.08,0.20,70,32,34.80,33.40,0.51,0.65,4.21,5.96,0.86,15.53,0.69,6.23,1.77,0.70,0.15,0.72,0.10,0.15,0.25
1141SCN.txt,135,34,96,34,318,39,136,39,0.43,0.29,0.25,0.15,0.74,0.61,135,36,34.50,32.50,0.42,0.69,5.35,7.57,0.85,16.83,0.59,11.76,2.43,0.71,0.15,0.72,0.12,0.14,0.26
1142SCN.txt,132,22,94,22,340,40,170,40,0.50,0.24,0.17,0.03,0.03,0.12,132,32,38.30,35.60,0.39,0.72,5.06,7.16,0.84,15.60,0.58,10.94,2.34,0.55,0.11,0.56,0.10,0.13,0.23
1143SCN.txt,185,36,133,36,423,49,206,48,0.49,0.23,0.19,0.00,0.00,0.00,185,42,37.60,37.50,0.44,0.76,6.36,9.00,0.86,19.20,0.52,11.52,2.40,0.65,0.11,0.73,0.12,0.13,0.25
1144SCN.txt,57,11,37,10,81,12,40,11,0.49,0.28,0.19,0.00,0.00,0.00,57,38,38.60,36.50,0.70,0.76,4.48,6.33,0.92,23.87,1.00,7.00,1.87,0.93,0.17,0.91,0.20,0.07,0.28
1145SCN.txt,171,43,124,43,358,58,175,58,0.49,0.33,0.25,0.14,0.68,0.58,171,41,39.50,39.70,0.48,0.79,6.39,9.04,0.87,20.33,0.59,13.08,2.56,0.71,0.13,0.75,0.09,0.09,0.18
1146SCN.txt,227,53,170,52,544,69,268,68,0.49,0.25,0.23,0.04,0.13,0.26,227,39,40.80,36.90,0.42,0.75,6.88,9.73,0.86,19.72,0.61,25.09,3.54,0.63,0.15,0.72,0.13,0.13,0.26
1147SCN.txt,92,9,50,9,168,18,71,18,0.42,0.25,0.10,0.10,0.20,0.32,92,38,39.60,35.00,0.55,0.72,5.02,7.10,0.88,18.94,0.85,14.45,2.69,0.70,0.24,0.70,0.11,0.11,0.23
1148SCN.txt,226,53,170,53,474,60,230,59,0.49,0.26,0.23,0.10,0.49,0.50,226,40,40.90,38.50,0.48,0.78,7.34,10.38,0.88,22.26,0.69,24.02,3.47,0.74,0.15,0.84,0.15,0.16,0.30
1149SCN.txt,124,30,79,29,258,40,119,39,0.46,0.33,0.24,0.18,1.09,0.74,124,36,38.70,34.00,0.48,0.73,5.46,7.72,0.87,18.28,0.67,14.67,2.71,0.66,0.18,0.75,0.08,0.13,0.20
1150SCN.txt,200,40,142,40,539,60,236,60,0.44,0.25,0.20,0.12,0.69,0.59,200,39,37.90,35.60,0.37,0.71,6.09,8.61,0.84,17.33,0.69,24.92,3.53,0.60,0.15,0.61,0.09,0.12,0.21
1151SCN.txt,230,57,171,55,487,69,244,67,0.50,0.27,0.25,0.04,0.08,0.20,230,30,40.50,38.50,0.47,0.77,7.37,10.42,0.88,22.17,0.75,27.00,3.67,0.70,0.15,0.78,0.11,0.11,0.23
1152SCN.txt,207,64,153,63,561,91,260,89,0.46,0.34,0.31,0.05,0.16,0.28,207,32,39.10,32.70,0.37,0.67,6.18,8.74,0.84,17.45,0.51,14.75,2.72,0.59,0.11,0.62,0.10,0.07,0.17
