FILENAME,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
1507SCN,106,22,70,22,259,32,122,32,0.47,0.26,0.21,0,0,0,106,38,35.3,33,0.41,0.69,4.66,6.59,0.84,15.01,0.64,8.91,2.11,0.57,0.11,0.57,0.11,0.08,0.2
1508SCN,239,62,183,60,501,92,252,82,0.5,0.33,0.26,0.02,0.02,0.09,239,38,41.8,39.4,0.48,0.76,7.55,10.68,0.88,22.68,0.68,25.79,3.59,0.73,0.15,0.69,0.15,0.11,0.25
1517SCN,194,38,141,38,380,52,189,52,0.5,0.28,0.2,0.05,0.1,0.22,194,31,40.6,39.3,0.51,0.75,7.04,9.95,0.89,22.79,0.8,25.6,3.58,0.75,0.17,0.7,0.14,0.14,0.28
1526SCN,98,17,69,16,193,20,97,19,0.5,0.2,0.17,0.11,0.21,0.32,98,34,36.7,35.8,0.51,0.73,4.99,7.05,0.87,17.75,0.63,7.58,1.95,0.71,0.12,0.74,0.12,0.12,0.25
1527SCN,151,27,110,27,260,32,131,30,0.5,0.23,0.18,0.03,0.03,0.13,151,38,43.3,39.3,0.58,0.8,6.62,9.36,0.9,24.71,0.81,20.16,3.18,0.84,0.19,0.88,0.19,0.19,0.38
1528SCN,207,52,155,51,409,62,203,59,0.5,0.29,0.25,0.1,0.39,0.44,207,41,41.3,39.4,0.51,0.79,7.24,10.24,0.89,23.06,0.85,29.88,3.87,0.76,0.17,0.83,0.13,0.15,0.28
1535SCN,87,16,55,16,165,19,77,19,0.47,0.25,0.18,0.05,0.05,0.16,87,37,38.4,36.1,0.53,0.73,4.79,6.77,0.87,17.69,0.74,10.32,2.27,0.71,0.18,0.76,0.05,0.14,0.19
1536SCN,204,41,153,40,412,54,212,53,0.51,0.25,0.2,0.07,0.29,0.38,204,36,41.1,38.6,0.5,0.79,7.11,10.05,0.88,22.4,0.65,23.56,3.43,0.72,0.17,0.72,0.12,0.13,0.25
1540SCN,92,14,65,14,230,19,107,19,0.47,0.18,0.15,0.04,0.04,0.15,92,36,35.2,34.8,0.4,0.71,4.29,6.07,0.83,14.02,0.7,11.13,2.36,0.61,0.15,0.58,0.11,0.15,0.26
1541SCN,188,39,134,39,354,46,161,46,0.45,0.29,0.21,0.05,0.11,0.23,188,43,39.6,39,0.53,0.81,7.07,9.99,0.89,23.64,0.82,25.29,3.56,0.83,0.19,0.86,0.12,0.15,0.27
1543SCN,212,43,153,40,485,54,221,46,0.46,0.21,0.2,0.03,0.06,0.18,212,39,40.9,35.8,0.44,0.75,6.81,9.63,0.87,20.07,0.55,19.14,3.09,0.69,0.16,0.78,0.1,0.16,0.26
1544SCN,128,28,93,28,213,34,121,34,0.57,0.28,0.22,0,0,0,128,34,41.6,40.8,0.6,0.79,6.2,8.77,0.91,24.51,0.78,10.89,2.33,0.77,0.12,0.8,0.17,0.1,0.26
1547SCN,255,58,191,56,634,75,274,73,0.43,0.27,0.23,0.12,0.83,0.64,255,41,38.7,35.9,0.4,0.74,7.16,10.13,0.86,19.85,0.75,32.81,4.05,0.7,0.16,0.65,0.12,0.11,0.23
1549SCN,109,13,67,12,204,15,91,14,0.45,0.15,0.12,0.04,0.04,0.14,109,37,40,39.2,0.53,0.79,5.4,7.63,0.88,19.6,0.77,15.38,2.77,0.74,0.22,0.82,0.09,0.18,0.26
1551SCN,153,24,97,22,368,40,177,37,0.48,0.21,0.16,0.09,0.26,0.36,153,37,38.3,37.5,0.42,0.73,5.64,7.98,0.85,17.27,0.71,16.94,2.91,0.55,0.14,0.57,0.1,0.14,0.23
1556SCN,188,39,135,37,372,51,193,49,0.52,0.25,0.21,0,0,0,188,27,40.9,39.2,0.51,0.74,6.89,9.75,0.88,22.29,0.68,19.12,3.09,0.7,0.15,0.77,0.1,0.19,0.29
1559SCN,151,34,109,33,357,49,180,48,0.5,0.27,0.23,0.07,0.28,0.37,151,40,37.6,36.4,0.42,0.72,5.65,7.99,0.85,17.44,0.63,22.74,3.37,0.61,0.2,0.61,0.08,0.11,0.19
1563SCN,44,7,27,7,66,9,33,9,0.5,0.27,0.16,0.1,0.1,0.22,44,35,35.6,35.6,0.67,0.7,3.83,5.42,0.9,18.8,0.8,6.4,1.79,0.82,0.24,0.8,0.12,0.12,0.24
1566SCN,110,31,78,30,195,35,88,33,0.45,0.38,0.28,0,0,0,110,40,38.5,38.3,0.56,0.77,5.57,7.88,0.89,21.09,0.93,12.07,2.46,0.89,0.15,0.89,0.16,0.15,0.31
